flightnumber,destination,latitude,longitude,price,date
WMT531  ,Hungary,48.6584,15.8649,222.23,2025-05-15
IGO292H ,India,28.6853,77.4492,118.56,2025-05-15
IGO1AP  ,India,26.5733,75.7627,222.44,2025-05-15
MBU4ZR  ,Estonia,41.0304,-2.8996,240.61,2025-05-15
AXB3058 ,India,15.821,73.5299,223.76,2025-05-15
GES091F ,Spain,40.7111,8.6004,244.67,2025-05-15
ESCHE   ,Estonia,51.6171,11.7351,165.27,2025-05-15
SWA704  ,United States,39.4572,-77.1034,152.06,2025-05-15
IGO6807 ,India,23.9746,91.7131,228.83,2025-05-15
VTHLY   ,India,19.1465,72.6912,70.77,2025-05-15
RPA4483 ,United States,36.1033,-78.5525,207.72,2025-05-15
AIC2622 ,India,28.317,76.6062,195.26,2025-05-15
TOM9WM  ,Slovakia,52.5202,-6.2342,232.03,2025-05-15
ENY3720 ,United States,41.9883,-87.9943,72.57,2025-05-15
SWA1008 ,United States,26.0767,-80.133,86.94,2025-05-15
SAS804  ,Sweden,55.8568,5.2583,204.62,2025-05-15
JBU854  ,United States,28.3813,-78.7662,216.36,2025-05-15
DAL724  ,United States,42.4195,-83.261,98.88,2025-05-15
SMOKEY3 ,United States,35.7612,-84.9531,57.29,2025-05-15
VOE9JV  ,Spain,36.5252,24.2499,198.69,2025-05-15
VOE85EX ,Spain,47.8175,3.4551,210.78,2025-05-15
EJU12DH ,Austria,40.5615,21.6632,244.78,2025-05-15
GBSVG   ,United Kingdom,51.7368,-0.9795,54.35,2025-05-15
LCO1514 ,Chile,47.1086,-1.1434,242.36,2025-05-15
EWG7W   ,Germany,53.1998,7.8594,173.5,2025-05-15
EWG6NJ  ,Germany,45.3796,16.5538,224.61,2025-05-15
OMM250  ,Slovakia,48.45,17.5333,18.58,2025-05-15
NOZ7JP  ,Sweden,57.6998,11.7868,200.02,2025-05-15
PGT4EA  ,Turkey,45.3463,16.6318,240.43,2025-05-15
PGT5LE  ,Turkey,40.7662,28.8224,142.1,2025-05-15
IBE0243 ,Spain,41.8832,-9.6637,220.16,2025-05-15
EWG5GH  ,Germany,48.3585,10.9218,270.58,2025-05-15
AIC598  ,India,18.4937,73.865,219.92,2025-05-15
EWG6NL  ,Germany,52.9166,10.0924,144.53,2025-05-15
EWG51R  ,Germany,55.3701,-2.7097,179.69,2025-05-15
AKJ154G ,India,19.2486,73.3151,118.91,2025-05-15
AEE616  ,Greece,45.2438,9.1454,240.17,2025-05-15
AEE6PX  ,Greece,37.6831,23.8744,226.91,2025-05-15
EWG4L   ,Germany,46.7945,12.942,211.37,2025-05-15
EWG61E  ,Germany,41.3996,3.5839,221.32,2025-05-15
EWG3FH  ,Germany,52.6913,10.0525,159.06,2025-05-15
EWG7KB  ,Germany,50.8401,7.1876,66.95,2025-05-15
SWG6404 ,Canada,45.4395,-73.7986,99.77,2025-05-15
JAL242  ,Japan,34.8166,134.9155,245.44,2025-05-15
GCK29   ,Austria,51.4443,1.9653,244.16,2025-05-15
AUA784Z ,Austria,45.7008,23.3806,201.97,2025-05-15
EJU42DB ,Austria,39.4649,2.4614,105.58,2025-05-15
AAL376  ,United States,38.6814,-81.4833,240.71,2025-05-15
GGOES   ,United Kingdom,51.8038,-4.304,54.32,2025-05-15
AEE711  ,Greece,41.1194,2.7328,204.44,2025-05-15
AEE6WO  ,Greece,44.172,19.5749,247.59,2025-05-15
N207P   ,United States,42.9274,-100.686,70.06,2025-05-15
EXS37FA ,Slovakia,46.7732,-0.426,223.45,2025-05-15
FHDNA   ,France,44.7244,0.789,57.29,2025-05-15
DAL23   ,United States,54.8966,-10.7167,263.2,2025-05-15
SAS4546 ,Sweden,62.539,11.6094,201.79,2025-05-15
NSZ5321 ,Norway,53.6406,6.583,268.23,2025-05-15
UCA4251 ,United States,36.7794,-78.7161,212.89,2025-05-15
AOJ73H  ,Austria,40.5629,29.3015,230.47,2025-05-15
FDX142  ,United States,38.9601,-95.9921,207.12,2025-05-15
FD581   ,Australia,-34.8513,138.3108,92.59,2025-05-15
DMUBG   ,Germany,51.2863,14.1171,32.29,2025-05-15
N492DP  ,United States,29.1745,-81.3959,87.8,2025-05-15
N428JE  ,United States,31.8505,-94.4983,246.71,2025-05-15
VIPR74  ,Australia,-31.6837,115.8424,136.22,2025-05-15
ANA269  ,Japan,35.2955,136.395,222.98,2025-05-15
THA619  ,Thailand,14.4242,100.8127,148.31,2025-05-15
VIPR72  ,Australia,-31.5032,117.0882,134.79,2025-05-15
DAL263  ,United States,48.8553,2.3495,219.65,2025-05-15
IGO5112 ,India,14.0979,75.1386,243.87,2025-05-15
SWA682  ,United States,39.1807,-76.796,81.48,2025-05-15
DWC007  ,San Marino,27.12,50.0566,250.37,2025-05-15
AIC2640 ,India,25.6691,76.7436,228.54,2025-05-15
AXS7X   ,San Marino,-25.8865,27.9119,106.52,2025-05-15
DEFEJ   ,Germany,49.6548,9.1802,59.17,2025-05-15
RPA4425 ,United States,38.7883,-77.0314,72.29,2025-05-15
NSZ2621 ,Sweden,53.0723,14.4419,223.42,2025-05-15
NSZ2ZY  ,Sweden,55.5784,17.1424,224.35,2025-05-15
AFR79LL ,France,43.3712,5.2191,128.15,2025-05-15
NSZ5WU  ,Sweden,51.1387,-0.2587,70.14,2025-05-15
NSZ4546 ,Sweden,51.4581,22.6597,239.69,2025-05-15
NSZ83AH ,Sweden,42.1931,7.2876,244.82,2025-05-15
NSZ4501 ,Sweden,53.3677,14.0658,257.64,2025-05-15
NSZ4506 ,Sweden,54.2019,15.3061,220.69,2025-05-15
NSZ2901 ,Sweden,54.8184,10.6407,196.54,2025-05-15
DEFFY   ,Germany,44.2211,25.9941,48.23,2025-05-15
MRNR03  ,Australia,-36.7217,144.3232,244.35,2025-05-15
LNI709  ,Indonesia,-6.358,114.3263,238.33,2025-05-15
ARG1262 ,Argentina,-34.0889,-56.6274,244.24,2025-05-15
NSZ5361 ,Sweden,49.6162,4.1658,246.18,2025-05-15
N275LH  ,United States,48.6409,1.7998,98.26,2025-05-15
SEJHO   ,Sweden,59.7991,18.4039,55.49,2025-05-15
NSZ3085 ,Sweden,55.6126,12.1075,149.67,2025-05-15
THUM11  ,Australia,-28.17,156.697,223.12,2025-05-15
NSZ1KS  ,Sweden,39.174,-3.5146,213.6,2025-05-15
IBS18FR ,Spain,49.4658,3.9532,249.4,2025-05-15
NSZ56J  ,Sweden,53.0446,16.5095,222.17,2025-05-15
NSZ3709 ,Sweden,55.3307,11.215,162.26,2025-05-15
NSZ2767 ,Sweden,58.1513,12.7686,206.56,2025-05-15
NSZ3550 ,Sweden,55.4596,12.9073,179.46,2025-05-15
PDT5748 ,United States,42.243,-84.5149,236.94,2025-05-15
LLR637  ,India,29.62,75.2755,121.13,2025-05-15
ESPKY   ,Estonia,59.7248,25.8409,90.19,2025-05-15
ERU813  ,United States,29.1531,-80.9714,43.84,2025-05-15
AIC2773 ,India,22.8478,84.6458,248.15,2025-05-15
IGO6018 ,India,15.1331,78.0307,237.22,2025-05-15
CFG5DH  ,Bulgaria,45.144,17.1408,219.09,2025-05-15
WZZ2JK  ,Hungary,50.2196,18.7614,161.06,2025-05-15
IBE06YY ,Spain,41.8538,12.2582,73.22,2025-05-15
LNI614  ,Indonesia,-4.8806,107.276,220.8,2025-05-15
ARG1244 ,Argentina,-28.6882,-51.2973,247.41,2025-05-15
CGF1907 ,Bulgaria,35.2549,28.1998,189.87,2025-05-15
JAF8XL  ,Bulgaria,46.6798,13.2112,211.44,2025-05-15
NINJA72 ,United States,35.6633,139.7252,4.63,2025-05-15
LNI716  ,Indonesia,-4.1443,107.4315,233.95,2025-05-15
IGO478  ,India,29.4676,75.979,260.69,2025-05-15
GIA420  ,Indonesia,-6.747,109.6047,232.76,2025-05-15
WZZ622  ,Hungary,50.7267,17.6835,225.15,2025-05-15
DAL1006 ,United States,44.536,-93.2493,180.37,2025-05-15
WZZ902  ,Hungary,44.1459,17.5194,212.13,2025-05-15
PSMDE   ,Brazil,-25.6429,-45.7791,174.73,2025-05-15
FBZ5180 ,Argentina,-34.6741,-58.3001,151.8,2025-05-15
SWA2811 ,United States,41.2653,-90.9753,215.57,2025-05-15
FDX1754 ,United States,35.2272,-107.1244,209.61,2025-05-15
AAL126  ,United States,40.9825,-5.2889,269.49,2025-05-15
ANA854  ,Japan,33.5842,137.128,276.58,2025-05-15
FBZ5100 ,Argentina,-31.5111,-57.8963,232.47,2025-05-15
WMT9ZX  ,Hungary,50.4433,14.9155,220.41,2025-05-15
WZZ47HA ,Hungary,59.9221,7.5469,200.33,2025-05-15
WMT2GR  ,Hungary,45.4655,15.2052,221.2,2025-05-15
UBD438  ,Bulgaria,46.9508,18.4281,255.04,2025-05-15
SNJ20   ,Japan,34.3293,136.629,245.53,2025-05-15
N70BR   ,United States,34.5493,-89.6111,272.21,2025-05-15
DAL1023 ,United States,40.7705,-74.7012,225.8,2025-05-15
SWA364  ,United States,39.6787,-94.2279,209.4,2025-05-15
AIC2971 ,India,28.0172,76.6738,177.88,2025-05-15
FDX156  ,United States,42.8408,-81.4854,244.65,2025-05-15
IBS1793 ,Spain,47.3436,-1.9784,226.74,2025-05-15
WMT433  ,Hungary,55.6097,17.4618,250.0,2025-05-15
CTV949  ,Indonesia,-4.4946,111.0706,232.96,2025-05-15
WZZ1919 ,Hungary,51.9998,20.1955,173.9,2025-05-15
WMT947  ,Hungary,49.0133,17.3721,213.73,2025-05-15
WZZ332  ,Hungary,54.4362,18.2281,129.7,2025-05-15
FFT2387 ,United States,36.0231,-80.2629,182.2,2025-05-15
EJU9043 ,Austria,49.0961,2.1262,216.96,2025-05-15
CCA168  ,China,35.7285,139.6755,181.17,2025-05-15
AEA44VC ,Spain,44.9748,-2.4936,233.8,2025-05-15
WZZ2525 ,Hungary,50.9674,17.071,215.49,2025-05-15
WZZ37DB ,Hungary,50.2326,8.5263,231.14,2025-05-15
BVN8549 ,United States,34.8728,-86.8888,92.56,2025-05-15
WMT8127 ,Hungary,34.8823,31.8243,192.91,2025-05-15
WZZ1467 ,Hungary,49.2912,13.1066,254.14,2025-05-15
DUKE66  ,United States,49.8994,6.5808,74.57,2025-05-15
AAL3182 ,United States,40.8973,-74.2239,236.93,2025-05-15
EJU761R ,Austria,48.9044,2.2452,134.23,2025-05-15
CXA8704 ,China,21.4712,115.6971,223.07,2025-05-15
EJU54JH ,Austria,52.5073,5.5771,159.23,2025-05-15
KOC11   ,Turkey,44.2321,26.2139,165.42,2025-05-15
EJU38HN ,Austria,41.6994,-4.9865,228.75,2025-05-15
EZS47YJ ,Austria,46.2947,6.3119,148.5,2025-05-15
CQH7302 ,China,22.6082,114.1548,236.05,2025-05-15
EJU727N ,Austria,43.3522,12.7114,230.3,2025-05-15
UAL109  ,United States,50.2993,8.1301,251.79,2025-05-15
IGO565F ,India,15.0546,78.3299,239.02,2025-05-15
WIF2Y   ,Norway,67.4027,14.3737,95.65,2025-05-15
WZZ5006 ,Hungary,51.5666,20.8453,149.67,2025-05-15
PRWDA   ,Brazil,-22.6734,-47.2992,32.9,2025-05-15
IBE06PC ,Spain,43.2102,0.534,229.14,2025-05-15
SPEAR23 ,United States,35.7561,139.3483,0.0,2025-05-15
AAY1261 ,United States,29.014,-81.3798,142.87,2025-05-15
AIC111  ,India,51.6947,0.8154,154.81,2025-05-15
AFR99DK ,France,43.8113,1.6599,159.81,2025-05-15
N670RA  ,United States,29.0521,-83.0969,102.84,2025-05-15
WZZ4894 ,Hungary,41.2371,29.5015,206.06,2025-05-15
WZZ39   ,Hungary,50.2341,15.2763,242.75,2025-05-15
UPS992  ,United States,43.218,-118.0805,197.25,2025-05-15
AXB394  ,India,28.6085,49.0935,230.19,2025-05-15
T7EAGLE ,San Marino,53.3756,11.1719,222.1,2025-05-15
,China,23.2263,113.2677,159.12,2025-05-15
WMT3030 ,Hungary,46.1197,24.1376,243.56,2025-05-15
WMT769  ,Hungary,45.3263,24.046,215.92,2025-05-15
KNE555  ,France,38.5017,30.3337,183.61,2025-05-15
AAL1252 ,United States,28.8206,-78.9716,250.65,2025-05-15
DAL925  ,United States,53.5808,-130.2735,242.28,2025-05-15
ABX588  ,United States,39.2748,-83.6899,235.1,2025-05-15
SWA513  ,United States,29.7413,-98.3789,163.08,2025-05-15
UPS946  ,United States,39.4094,-110.7293,220.69,2025-05-15
IGO6318 ,India,26.9161,76.1104,231.04,2025-05-15
IGO5RM  ,India,25.137,76.9048,240.96,2025-05-15
IGO8Y   ,India,13.4456,80.0884,102.34,2025-05-15
UAL1735 ,United States,34.2299,-121.5842,257.85,2025-05-15
GLO1963 ,Brazil,-23.1429,-46.5093,150.91,2025-05-15
GLO1755 ,Brazil,-15.7942,-48.2971,112.5,2025-05-15
GLO2080 ,Brazil,-22.7521,-43.0292,138.16,2025-05-15
ASA68   ,United States,47.0321,-122.33,281.2,2025-05-15
ICE450  ,Iceland,51.4771,-0.5862,79.75,2025-05-15
IGO216Y ,India,25.792,77.2285,235.23,2025-05-15
TFL3FA  ,Slovakia,37.297,30.7222,202.47,2025-05-15
SWA450  ,United States,22.3634,-71.7662,219.86,2025-05-15
SFR130  ,South Africa,-34.1953,19.3654,220.24,2025-05-15
IGO176  ,India,15.9963,78.4806,241.4,2025-05-15
,United States,30.146,-91.6978,93.8,2025-05-15
IGO6938 ,India,19.3342,73.9992,199.28,2025-05-15
IGO419  ,India,16.0587,73.5354,181.66,2025-05-15
RPA5690 ,United States,41.4281,-78.7042,224.34,2025-05-15
IGO6091 ,India,28.5908,76.9821,121.78,2025-05-15
IGO1862 ,India,12.1298,77.264,222.26,2025-05-15
AUA4MY  ,Austria,51.98,-0.1139,233.49,2025-05-15
T7VGT   ,San Marino,44.5698,20.7192,217.46,2025-05-15
AAL1795 ,United States,40.8044,-72.89,188.43,2025-05-15
AZU8751 ,Brazil,37.3975,-10.2088,231.8,2025-05-15
LNI326  ,Indonesia,-4.865,108.5598,237.86,2025-05-15
HKS75   ,United Kingdom,52.9503,1.4371,67.21,2025-05-15
NOZ54K  ,Norway,55.9453,-3.7502,131.18,2025-05-15
IGO7352 ,India,23.0052,87.6582,147.92,2025-05-15
SFR294  ,South Africa,-33.8692,18.633,82.2,2025-05-15
IGO6HJ  ,India,19.5973,72.7829,202.92,2025-05-15
N51GN   ,United States,35.824,-83.6132,172.65,2025-05-15
DLH462  ,Germany,51.2607,-5.1022,274.29,2025-05-15
WUK7694 ,United Kingdom,52.3256,1.9115,188.1,2025-05-15
DLH430  ,Germany,55.1375,-7.1097,267.58,2025-05-15
BAW42Y  ,United Kingdom,51.1651,0.1952,134.37,2025-05-15
DLH454  ,Germany,54.142,3.2777,234.97,2025-05-15
SWA268  ,United States,39.1563,-76.1855,186.25,2025-05-15
N334RJ  ,United States,34.7624,-86.5561,124.37,2025-05-15
AZU6011 ,Brazil,-23.7551,-47.1019,174.4,2025-05-15
GIA6247 ,San Marino,10.7716,78.0513,224.02,2025-05-15
AAL2729 ,United States,39.5622,-77.481,233.12,2025-05-15
EWG60B  ,Germany,48.7359,9.2413,260.49,2025-05-15
GCLYA   ,United Kingdom,50.3263,-5.1746,23.69,2025-05-15
4XBOD   ,Israel,32.5995,34.8059,0.51,2025-05-15
RA10205 ,Russian Federation,54.3214,48.5398,41.48,2025-05-15
PSBTA   ,Brazil,-20.338,-40.308,58.77,2025-05-15
JBU166  ,United States,27.1583,-81.7706,205.49,2025-05-15
DAL83   ,United States,51.4226,-11.8452,254.45,2025-05-15
EWG50C  ,Germany,53.7515,15.7345,227.01,2025-05-15
SAW723  ,Syrian Arab Republic,29.2409,48.9345,239.04,2025-05-15
WUK1KM  ,United Kingdom,52.0644,4.2329,235.5,2025-05-15
N224FP  ,United States,39.248,-77.7625,110.79,2025-05-15
ICE430  ,Iceland,63.6952,-22.0578,161.59,2025-05-15
SWA111  ,United States,38.8983,-76.2244,133.56,2025-05-15
IGO6212 ,India,25.0104,76.9044,233.74,2025-05-15
,Syrian Arab Republic,31.6241,45.0382,263.38,2025-05-15
IGO5042 ,India,13.9172,79.9754,219.73,2025-05-15
AXB611  ,India,17.8,70.5022,243.44,2025-05-15
ICE500  ,Iceland,52.4781,4.16,148.26,2025-05-15
AIC187  ,India,51.2047,3.5603,250.17,2025-05-15
AAL2842 ,United States,38.7031,-84.6995,266.21,2025-05-15
EWG5YX  ,Germany,51.285,6.7515,66.78,2025-05-15
EWG5N   ,Germany,39.5377,2.6909,68.99,2025-05-15
VLG7UA  ,Spain,41.4733,2.2906,128.7,2025-05-15
VLG3071 ,Spain,43.7138,20.5497,187.94,2025-05-15
JIA5351 ,United States,39.2153,-76.6932,155.38,2025-05-15
SWA121  ,United States,35.0846,-95.6433,208.9,2025-05-15
GBKUE   ,United Kingdom,56.177,-3.8478,53.47,2025-05-15
AIC851  ,India,25.8477,86.3604,245.43,2025-05-15
NOZ3LB  ,Sweden,49.8203,6.5474,212.23,2025-05-15
NSZ2KT  ,Sweden,56.8857,13.282,257.13,2025-05-15
NSZ5527 ,Sweden,55.1708,4.4816,248.3,2025-05-15
VOI3297 ,Mexico,32.4788,-116.7843,79.92,2025-05-15
NOZ1104 ,Sweden,59.8943,11.0727,227.21,2025-05-15
TFL5467 ,Slovakia,52.0237,-8.5636,97.14,2025-05-15
NSZ5141 ,Sweden,40.3359,0.6756,236.42,2025-05-15
NSZ3613 ,Sweden,48.7027,0.5353,211.77,2025-05-15
NSZ3731 ,Sweden,55.4266,12.3486,92.19,2025-05-15
N101FU  ,United States,42.0465,7.9049,182.24,2025-05-15
JES3101 ,Argentina,-33.4071,-60.9084,255.54,2025-05-15
AAL1122 ,United States,31.2834,-95.6156,219.68,2025-05-15
NSZ5611 ,Sweden,47.3671,6.1464,237.25,2025-05-15
NSZ5TP  ,Sweden,55.5457,12.5319,72.59,2025-05-15
NSZ2ES  ,Sweden,54.4909,3.8168,199.04,2025-05-15
MGH972  ,Turkey,51.4074,20.2356,211.43,2025-05-15
AIC2418 ,India,13.7256,77.7033,203.53,2025-05-15
,India,27.1599,81.7325,211.93,2025-05-15
NWK2983 ,Australia,-30.4128,116.7023,174.89,2025-05-15
VTPLV   ,India,12.9662,77.847,94.44,2025-05-15
IGO768W ,India,18.266,83.3484,238.63,2025-05-15
SWA561  ,United States,34.716,-85.0618,195.78,2025-05-15
IGO48RK ,India,14.1698,77.2465,231.23,2025-05-15
VTMAY   ,India,12.9526,77.6964,66.65,2025-05-15
SAS262  ,Sweden,60.4063,6.5891,192.0,2025-05-15
MGH881  ,Turkey,48.6982,21.7888,229.51,2025-05-15
NHZ31   ,United Kingdom,53.6317,-3.1755,0.0,2025-05-15
TGW323  ,Singapore,1.2624,103.9408,77.21,2025-05-15
FD521   ,Australia,-33.4968,138.0252,81.14,2025-05-15
SAS4161 ,Sweden,63.4575,10.8958,67.91,2025-05-15
IGO1104 ,India,24.2365,89.387,213.25,2025-05-15
SAS899  ,Sweden,60.1692,9.224,229.08,2025-05-15
IGO6417 ,India,18.1809,80.4606,235.08,2025-05-15
NSZ3807 ,Sweden,51.5049,19.7158,247.14,2025-05-15
NSZ5051 ,Sweden,50.9153,7.0544,255.98,2025-05-15
EJU64VT ,Austria,41.3056,-8.6965,103.21,2025-05-15
EJU71RY ,Austria,51.1999,11.3289,246.94,2025-05-15
TGW416  ,Singapore,3.2167,102.0081,247.66,2025-05-15
JA07DR  ,Japan,35.7111,139.7835,43.74,2025-05-15
AAL2159 ,United States,38.8854,-74.8145,191.41,2025-05-15
NSZ4555 ,Sweden,58.216,20.2046,245.93,2025-05-15
FDX140  ,United States,41.1219,-102.5074,250.52,2025-05-15
AAL2720 ,United States,39.4781,-75.5533,150.77,2025-05-15
TFL1603 ,Slovakia,51.1474,-0.3447,248.05,2025-05-15
SWA265  ,United States,37.8215,-83.3496,217.92,2025-05-15
EJU18VC ,Austria,45.3125,-0.1864,224.79,2025-05-15
SEH7WA  ,Greece,48.3509,5.0103,219.03,2025-05-15
MGH873  ,Turkey,44.5178,26.356,220.46,2025-05-15
NSZ21MU ,Sweden,54.493,8.2864,268.16,2025-05-15
FDX1701 ,United States,36.6714,-105.6137,199.22,2025-05-15
SWA3440 ,United States,37.4538,-82.3228,238.85,2025-05-15
SWA970  ,United States,39.175,-76.6931,73.27,2025-05-15
ANA218  ,Japan,44.1292,25.319,268.91,2025-05-15
MNS400  ,Libyan Arab Jamahiriya,33.8417,11.6545,221.38,2025-05-15
IGO994  ,India,22.8503,89.4767,214.14,2025-05-15
AIC129D ,India,52.0332,7.4582,257.43,2025-05-15
CKK205  ,China,63.3585,58.9742,255.53,2025-05-15
FFT2147 ,United States,33.1231,-97.2652,198.21,2025-05-15
SWA4515 ,United States,40.1907,-77.2579,227.08,2025-05-15
IGO5M   ,India,13.1882,77.86,98.77,2025-05-15
ENY4143 ,United States,26.9688,-82.2667,262.12,2025-05-15
THA629  ,Thailand,13.7333,100.772,72.74,2025-05-15
GBKOU   ,United Kingdom,51.6973,0.4005,87.09,2025-05-15
SFS81   ,Switzerland,45.2785,7.5931,116.08,2025-05-15
THA303  ,Thailand,15.7728,98.4616,245.12,2025-05-15
THA113  ,Thailand,13.9587,100.7314,106.68,2025-05-15
THA216  ,Thailand,11.1483,100.1378,229.03,2025-05-15
PSJFG   ,Brazil,-15.6668,-44.7667,128.26,2025-05-15
PSEMB   ,Brazil,-24.8484,-47.5532,208.92,2025-05-15
DAL1388 ,United States,39.7508,-81.8651,228.08,2025-05-15
JOKER32 ,Germany,51.2626,8.7122,58.47,2025-05-15
IGO6344 ,India,22.6019,88.3836,123.81,2025-05-15
IGO6811 ,India,18.4873,74.8803,227.16,2025-05-15
UAL289  ,United States,43.0559,-75.293,227.57,2025-05-15
DKH1356 ,China,4.5901,115.9785,229.48,2025-05-15
IBE07VD ,Spain,48.8592,2.6648,239.04,2025-05-15
DLH400  ,Germany,52.7648,-7.8638,266.72,2025-05-15
IGO597  ,India,16.8732,82.9067,246.18,2025-05-15
,India,20.8775,81.9904,230.47,2025-05-15
N500MF  ,United States,27.4653,-80.2892,70.58,2025-05-15
IGO6753 ,India,14.5003,74.4783,187.0,2025-05-15
AIC162  ,India,47.3374,18.179,269.19,2025-05-15
JBU34   ,United States,51.1092,-10.2176,258.34,2025-05-15
ANA204  ,Japan,48.8485,10.9545,289.96,2025-05-15
N725EL  ,United States,51.402,0.6421,76.16,2025-05-15
THA136  ,Thailand,14.9729,100.2038,240.82,2025-05-15
THA636  ,Thailand,13.6029,100.9671,161.26,2025-05-15
TVF37HQ ,France,42.3872,1.3194,231.37,2025-05-15
